date,race,age,sex
2023-07-28,Other,12,F
2023-07-29,Black or African American,20,F
2023-07-29,Black or African American,16,M
2023-07-30,"Black or African American, Unknown",24,F
2023-07-30,Black or African American,24,M
2023-08-01,"Black or African American, Unknown",24,F
2023-08-03,Black or African American,12,F
2023-08-04,White,21,F
2023-08-04,Black or African American,21,F
2023-08-05,Other,18,F
2023-08-05,Black or African American,24,F
2023-08-06,"Other, Unknown, White",14,F
2023-08-09,Black or African American,12,F
2023-08-11,Black or African American,20,M
2023-08-11,Black or African American,20,F
2023-08-11,White,17,M
2023-08-13,"Black or African American, White",21,F
2023-08-14,Other,13,F
2023-08-15,Black or African American,16,F
2023-08-16,White,18,F
2023-08-16,Black or African American,22,M
2023-08-16,Black or African American,24,F
2023-08-17,"Black or African American, Unknown",24,F
2023-08-19,Black or African American,21,F
2023-08-22,Black or African American,23,F
2023-08-24,Black or African American,16,F
2023-08-28,Black or African American,21,F
2023-08-29,Black or African American,14,F
2023-09-02,Black or African American,24,M
2023-09-02,White,21,F
2023-09-06,Black or African American,22,M
2023-09-10,Other,21,M
2023-09-14,Black or African American,10,M
2023-09-14,White,21,F
2023-09-15,White,18,F
2023-09-17,Black or African American,20,M
2023-09-17,Black or African American,22,M
2023-09-18,Black or African American,15,M
2023-09-18,Black or African American,24,F
2023-09-18,Black or African American,16,M
2023-09-18,Black or African American,18,F
2023-09-18,Black or African American,16,M
2023-09-24,Black or African American,19,F
2023-09-26,"Black or African American, White",21,F
2023-09-27,Black or African American,20,F
2023-09-28,White,21,F
2023-10-03,Black or African American,15,F
2023-10-03,Black or African American,11,M
2023-10-04,Black or African American,12,F
2023-10-06,Black or African American,24,F
2023-10-08,"Black or African American, White",21,F
2023-10-09,Black or African American,15,F
2023-10-10,Other,21,F
2023-10-16,Other,12,F
2023-10-16,Black or African American,15,M
2023-10-16,Black or African American,15,M
2023-10-18,Black or African American,20,F
2023-10-19,Black or African American,24,F
2023-10-19,Black or African American,18,M
2023-10-20,Other,24,M
2023-10-23,Black or African American,24,M
2023-10-24,Other,13,F
2023-10-26,Black or African American,15,M
2023-10-26,Other,11,F
2023-10-28,"Black or African American, White",21,F
2023-11-01,Black or African American,15,M
2023-11-01,N/A-OUTREACH USE ONLY,20,F
2023-11-01,Black or African American,14,F
2023-11-03,"Black or African American, Other",11,F
2023-11-03,Black or African American,15,F
2023-11-04,Other,13,M
2023-11-08,Black or African American,19,F
2023-11-11,White,13,M
2023-11-11,White,23,F
2023-11-13,Black or African American,23,F
2023-11-16,White,15,M
2023-11-17,Black or African American,14,F
2023-11-18,Black or African American,23,F
2023-11-20,Black or African American,21,F
2023-11-23,Black or African American,24,F
2023-11-24,Black or African American,13,F
2023-11-24,Other,22,F
2023-11-28,Black or African American,18,F
2023-11-28,White,21,F
2023-11-28,Black or African American,11,F
2023-12-02,White,19,F
2023-12-02,Other,19,F
2023-12-04,Other,12,F
2023-12-04,Black or African American,21,M
2023-12-05,Black or African American,11,F
